Id_bien;Id_lieu;No_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type local
9740;9249;61;AV DE LA MARNE;4;70.02;70;Appartement
9741;9262;95;RUE JEAN JAURES;3;51.4;45;Appartement
9742;9271;40;RUE DE FONTENAY;5;79.8;80;Appartement
9743;9273;43;RUE DES CHENES;4;81.74;88;Maison
9744;9273;65;RUE CARNOT;1;30.65;11;Appartement
9745;936;4;IMP DES COMTOIS;2;35.44;38;Appartement
9746;9310;43;RUE EDOUARD VAILLANT;2;37.68;37;Appartement
9747;9345;2;AV DES COMBATTANTS AF NORD;3;90.01;92;Appartement
9748;9347;156;AV DES ARTS;3;36.9;40;Appartement
9749;9348;14;BD HENRI BARBUSSE;2;26.42;30;Appartement
9750;9348;15;RUE JULIETTE DODU;3;59.7;60;Appartement
9751;9353;21;RUE GEORGES GAY;2;44.21;44;Appartement
9752;9355;4;RUE MONTGOLFIER;3;59.33;59;Appartement
9753;9355;1;RUE DENIS PAPIN;1;16.32;16;Appartement
9754;9363;5;RUE JEAN JAURES;3;56.3;57;Appartement
9755;9363;42;AV DE VERDUN;2;24.35;24;Appartement
9756;9371;47;AV JEAN JAURES;1;23.26;31;Appartement
9757;9378;13;AV P VAILLANT COUTURIER;5;100.84;101;Maison
9758;941;1;QUAI MAGNE;1;31.11;32;Appartement
9759;942;121;RUE MARCELIN BERTHELOT;5;90.67;92;Maison
9760;9416;7;AV DU PRESIDENT WILSON;3;53.8;55;Appartement
9761;9416;30;AV LOUIS GEORGEON;2;52;50;Appartement
9762;9416;50;AV DUMOTEL;3;67.11;67;Appartement
9763;9418;3;AV GENERAL DE GAULLE;3;68.79;68;Appartement
9764;9418;35;AV DE GRAVELLE;1;17.81;20;Appartement
9765;9444;10;ALL VAN GOGH;3;67.57;67;Appartement
9766;9452;44;RUE DES HEROS NOGENTAIS;3;45.86;48;Appartement
9767;9454;11;ALL LOUIS BREGUET;3;46.58;53;Appartement
9768;9479;2;RUE DU HUIT MAI 1945;1;26.43;26;Appartement
9769;9480;15;RUE GEORGES HUCHON;2;52.71;51;Appartement
9770;9481;22;RUE MARGUERITE DURAS;3;68.26;70;Appartement
9771;9518;11;RUE DU POIRIER FOURRIER;3;68.34;68;Appartement
9772;95176;15;RUE GUY PATIN;1;45.7;44;Appartement
9773;95203;47;RUE DES BUSSYS;4;65.71;63;Appartement
9774;95219;88;RUE DU GROS NOYER;4;71.74;72;Appartement
9775;95219;8;ALL SAINT JOHN PERSE;2;50.25;50;Appartement
9776;95280;21;RUE RAYMOND LAPCHIN;3;76;58;Maison
9777;95392;10;GR GRANDE RUE;1;24.5;25;Appartement
9778;95500;13;RUE DE L EPERON;3;84.8;75;Appartement
9779;95500;1;RUE DES MARADAS BRUNS;3;62.83;63;Appartement
9780;95563;2;RUE DE L ERMITAGE;2;27.85;28;Appartement
9781;95572;9;RUE DES TERRES DE LA FERME;4;99.88;103;Maison
9782;974416;3;RUE DES ROCHES;1;18.02;19;Appartement
9783;0133;24;RUE LAMARTINE;3;47.65;62;Appartement
9784;02408;13;RUE PAUL DOUMER;2;49.1;53;Appartement
9785;02722;3;RUE DE LA RESISTANCE;3;47.02;36;Appartement
9786;0494;7024; LES HAUTES PLAINES;1;27.36;27;Appartement
9787;04139;5038; LE VILLAGE;1;40.4;38;Appartement
9788;064;14;BD MARECHAL FOCH;3;55.43;60;Appartement
9789;064;9003; LES SEMBOULES;3;77.09;76;Appartement
9790;0612;13;RUE JULES FERRY;3;69.82;67;Appartement
9791;0618;95;AV ROUMANILLE;1;26.67;27;Appartement
9792;0618;223;BD DE LA SOURCE;6;201.3;227;Maison
9793;0688;5;RUE GUSTAVE DELOYE;1;22.08;21;Appartement
9794;06155;3;IMP ALLEGRE;2;55.91;63;Appartement
9795;06159;9010;ESC DE LA GARE;3;59.85;95;Appartement
9796;06159;6;AV DE SAINT ESTEVE;2;57.72;72;Appartement
